Designator,Mid X,Mid Y,Rotation,Layer
D1,120.5,-74.5,90.0,top
D10,153.81,-65.0,0.0,top
D11,93.5,-72.0,0.0,top
D12,93.25,-92.125,0.0,top
D13,93.0,-110.0,0.0,top
D14,110.5,-124.5,0.0,top
D15,130.0,-124.5,0.0,top
D16,149.5,-124.5,0.0,top
D17,172.5,-111.5,180.0,top
D18,172.5,-92.0,180.0,top
D19,172.75,-72.625,180.0,top
D2,139.5,-74.19,90.0,top
D3,158.5,-74.0,90.0,top
D4,120.5,-93.19,90.0,top
D5,139.5,-93.19,90.0,top
D6,158.5,-93.0,90.0,top
D7,120.5,-112.19,90.0,top
D8,139.5,-112.19,90.0,top
D9,158.5,-112.0,90.0,top
SW1,110.92,-70.91,0.0,top
SW10,165.75,-49.9,180.0,top
SW2,130.0,-70.91,0.0,top
SW3,149.0,-70.91,0.0,top
SW4,111.0,-89.91,0.0,top
SW5,129.92,-89.91,0.0,top
SW6,148.92,-89.95,0.0,top
SW7,111.0,-108.91,0.0,top
SW8,130.0,-108.91,0.0,top
SW9,149.0,-108.91,0.0,top
U1,116.0,-49.0,90.0,top
U2,102.0,-52.24263,180.0,top
